n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
1100; 308341; 302413; 301689; 302077; 294206; 301112; 298013; 298879; 304538; 310714; 310073; 314912; 309545; 291870; 305882; 300629; 310342; 302317; 312774; 302237; 300760; 300253; 296057; 297247; 301447; 307242; 301314; 300590; 300978; 293107; 300013; 296914; 297780; 303439; 309615; 308974; 313813; 308446; 290771; 304783; 299530; 309243; 301218; 311675; 301138; 299661; 299154; 294958; 296148; 300348; 0,001004; 0,000964; 0,000973; 0,001021; 0,000981; 0,000000; 0,000000; 0,000000; 0,000000; 0,000953; 0,001012; 0,001013; 0,000987; 0,000000; 0,000000; 0,000000; 0,001003; 0,001043; 0,001943; 0,000999; 0,001037; 0,000962; 0,001015; 0,001008; 0,001001; 
1200; 357906; 349815; 348824; 366627; 357145; 369083; 349240; 354339; 359463; 359593; 358621; 351771; 359127; 369709; 355411; 350700; 359724; 359283; 354878; 364114; 352445; 356500; 369463; 365159; 356380; 356707; 348616; 347625; 365428; 355946; 367884; 348041; 353140; 358264; 358394; 357422; 350572; 357928; 368510; 354212; 349501; 358525; 358084; 353679; 362915; 351246; 355301; 368264; 363960; 355181; 0,000979; 0,000998; 0,001000; 0,002041; 0,000965; 0,001996; 0,001023; 0,000981; 0,002022; 0,001026; 0,000994; 0,000978; 0,001013; 0,001975; 0,001001; 0,001000; 0,001015; 0,001072; 0,001901; 0,001000; 0,001004; 0,001003; 0,001018; 0,001005; 0,000964; 
1300; 428849; 423908; 423951; 429191; 415289; 413793; 446050; 414709; 426860; 405430; 423108; 424270; 434257; 416059; 407196; 429689; 444318; 427950; 416125; 433169; 417579; 426615; 434987; 420104; 418417; 427550; 422609; 422652; 427892; 413990; 412494; 444751; 413410; 425561; 404131; 421809; 422971; 432958; 414760; 405897; 428390; 443019; 426651; 414826; 431870; 416280; 425316; 433688; 418805; 417118; 0,001025; 0,000988; 0,001988; 0,001998; 0,001002; 0,001021; 0,002022; 0,000988; 0,002017; 0,000972; 0,000992; 0,002011; 0,001001; 0,001998; 0,000999; 0,000982; 0,002017; 0,001005; 0,002033; 0,000966; 0,001995; 0,000993; 0,001000; 0,002049; 0,000999; 
1400; 490398; 479816; 476700; 491966; 475335; 507279; 484215; 491133; 488712; 501192; 486935; 489067; 494071; 483424; 489951; 486701; 480784; 489574; 480633; 483706; 480540; 490531; 489131; 491061; 496158; 488999; 478417; 475301; 490567; 473936; 505880; 482816; 489734; 487313; 499793; 485536; 487668; 492672; 482025; 488552; 485302; 479385; 488175; 479234; 482307; 479141; 489132; 487732; 489662; 494759; 0,001002; 0,002037; 0,001994; 0,000987; 0,000999; 0,001979; 0,001010; 0,002028; 0,001958; 0,001022; 0,001988; 0,002036; 0,001004; 0,001964; 0,001000; 0,001988; 0,001997; 0,001003; 0,002034; 0,001968; 0,002021; 0,000985; 0,001989; 0,001000; 0,002000; 
1500; 580230; 571559; 556299; 548051; 548631; 560553; 551518; 556744; 544644; 564697; 565358; 550315; 565459; 557249; 564689; 564316; 563476; 565732; 530228; 559844; 567607; 575635; 589298; 561666; 569615; 578731; 570060; 554800; 546552; 547132; 559054; 550019; 555245; 543145; 563198; 563859; 548816; 563960; 555750; 563190; 562817; 561977; 564233; 528729; 558345; 566108; 574136; 587799; 560167; 568116; 0,002001; 0,002024; 0,002030; 0,000974; 0,001984; 0,002001; 0,001985; 0,002003; 0,000999; 0,000984; 0,002030; 0,002015; 0,001976; 0,001998; 0,000989; 0,001011; 0,002035; 0,002940; 0,001070; 0,000978; 0,001997; 0,002002; 0,001999; 0,001997; 0,001946; 
1600; 633780; 652601; 655584; 665621; 640191; 652189; 653141; 647114; 637091; 649154; 657567; 643419; 655796; 651401; 644575; 648050; 623695; 651800; 639173; 636643; 640086; 629428; 653219; 651824; 644393; 632181; 651002; 653985; 664022; 638592; 650590; 651542; 645515; 635492; 647555; 655968; 641820; 654197; 649802; 642976; 646451; 622096; 650201; 637574; 635044; 638487; 627829; 651620; 650225; 642794; 0,001027; 0,003015; 0,001981; 0,002002; 0,001977; 0,002000; 0,003029; 0,001967; 0,002000; 0,002021; 0,001982; 0,002001; 0,002001; 0,003002; 0,001993; 0,002000; 0,002001; 0,002011; 0,003014; 0,002004; 0,001970; 0,002000; 0,002000; 0,002000; 0,002003; 
1700; 726725; 726579; 726788; 714122; 749317; 722820; 713247; 742166; 720094; 710472; 712316; 710793; 709730; 728824; 729985; 732901; 719957; 735399; 732131; 720332; 721149; 711585; 719874; 733549; 715766; 725026; 724880; 725089; 712423; 747618; 721121; 711548; 740467; 718395; 708773; 710617; 709094; 708031; 727125; 728286; 731202; 718258; 733700; 730432; 718633; 719450; 709886; 718175; 731850; 714067; 0,001994; 0,002000; 0,003010; 0,001977; 0,003000; 0,002025; 0,002002; 0,002986; 0,002016; 0,001972; 0,003005; 0,002022; 0,002011; 0,002979; 0,001994; 0,001999; 0,003024; 0,001969; 0,002077; 0,002979; 0,002001; 0,002001; 0,001999; 0,001981; 0,002958; 
1800; 828429; 830687; 817682; 810474; 799613; 813275; 798558; 810436; 791601; 805090; 797280; 804630; 824683; 788516; 802750; 809814; 816728; 822119; 814974; 801853; 821067; 789440; 808231; 811572; 803944; 826630; 828888; 815883; 808675; 797814; 811476; 796759; 808637; 789802; 803291; 795481; 802831; 822884; 786717; 800951; 808015; 814929; 820320; 813175; 800054; 819268; 787641; 806432; 809773; 802145; 0,001999; 0,004017; 0,003989; 0,002998; 0,001998; 0,002000; 0,003032; 0,002970; 0,003003; 0,002997; 0,001998; 0,003000; 0,003021; 0,003026; 0,003018; 0,001998; 0,003002; 0,002003; 0,003013; 0,002926; 0,003059; 0,003000; 0,001999; 0,003002; 0,002999; 
1900; 934486; 904433; 881385; 906767; 888228; 931141; 922682; 906162; 904324; 901295; 900527; 876125; 925205; 897546; 887663; 885751; 893456; 911000; 912514; 907333; 899989; 892280; 923109; 931790; 920083; 932587; 902534; 879486; 904868; 886329; 929242; 920783; 904263; 902425; 899396; 898628; 874226; 923306; 895647; 885764; 883852; 891557; 909101; 910615; 905434; 898090; 890381; 921210; 929891; 918184; 0,003027; 0,002973; 0,003008; 0,003020; 0,001998; 0,002988; 0,001984; 0,002961; 0,003026; 0,001985; 0,001988; 0,003012; 0,002988; 0,004032; 0,003015; 0,002999; 0,003000; 0,002958; 0,003045; 0,002997; 0,003000; 0,003000; 0,003004; 0,002998; 0,002998; 
2000; 998915; 1001277; 996946; 991891; 1004160; 1008166; 990430; 995921; 1014917; 1007312; 979056; 1013902; 977830; 996224; 1029390; 1011062; 1003915; 1002642; 1023970; 984238; 991756; 981094; 1007884; 1022161; 1012055; 996916; 999278; 994947; 989892; 1002161; 1006167; 988431; 993922; 1012918; 1005313; 977057; 1011903; 975831; 994225; 1027391; 1009063; 1001916; 1000643; 1021971; 982239; 989757; 979095; 1005885; 1020162; 1010056; 0,002982; 0,003000; 0,004057; 0,002968; 0,002988; 0,003007; 0,003982; 0,003024; 0,003008; 0,003013; 0,002955; 0,003001; 0,004006; 0,003056; 0,003004; 0,002996; 0,003945; 0,003057; 0,003934; 0,002999; 0,004060; 0,003008; 0,002994; 0,004015; 0,002999; 
