n; comparisons; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; duration;
2000; 989246; 1014273; 981437; 1008926; 1016170; 992002; 991036; 1005187; 1008835; 1001299; 987247; 1012274; 979438; 1006927; 1014171; 990003; 989037; 1003188; 1006836; 999300; 0,002964; 0,003000; 0,003000; 0,003993; 0,003997; 0,003028; 0,002982; 0,003054; 0,003934; 0,003000; 
2100; 1115835; 1120408; 1116503; 1086703; 1107257; 1098909; 1112976; 1129898; 1105527; 1118379; 1113736; 1118309; 1114404; 1084604; 1105158; 1096810; 1110877; 1127799; 1103428; 1116280; 0,003986; 0,004000; 0,002994; 0,004000; 0,005006; 0,003997; 0,003078; 0,003984; 0,004001; 0,003974; 
2200; 1210936; 1248971; 1194023; 1197693; 1209511; 1204337; 1233115; 1251913; 1187202; 1229013; 1208737; 1246772; 1191824; 1195494; 1207312; 1202138; 1230916; 1249714; 1185003; 1226814; 0,003003; 0,002988; 0,004013; 0,003974; 0,004039; 0,003985; 0,004041; 0,004937; 0,004062; 0,004006; 
2300; 1294374; 1334524; 1318958; 1336380; 1342636; 1286994; 1345309; 1341618; 1316856; 1323696; 1292075; 1332225; 1316659; 1334081; 1340337; 1284695; 1343010; 1339319; 1314557; 1321397; 0,004013; 0,003987; 0,004000; 0,005029; 0,004033; 0,003939; 0,005099; 0,005898; 0,004999; 0,004002; 
2400; 1447602; 1412007; 1462671; 1440074; 1431040; 1446058; 1434722; 1455657; 1421318; 1464843; 1445203; 1409608; 1460272; 1437675; 1428641; 1443659; 1432323; 1453258; 1418919; 1462444; 0,004997; 0,004011; 0,004995; 0,005038; 0,004029; 0,005940; 0,005027; 0,004974; 0,005049; 0,005005; 
2500; 1554037; 1577314; 1548074; 1584720; 1581789; 1582918; 1571548; 1584617; 1544031; 1586521; 1551538; 1574815; 1545575; 1582221; 1579290; 1580419; 1569049; 1582118; 1541532; 1584022; 0,004987; 0,005030; 0,004946; 0,004997; 0,004999; 0,006003; 0,005034; 0,005033; 0,005932; 0,004998; 
2600; 1691369; 1651147; 1676884; 1708839; 1705385; 1679989; 1681108; 1706442; 1682015; 1689346; 1688770; 1648548; 1674285; 1706240; 1702786; 1677390; 1678509; 1703843; 1679416; 1686747; 0,004992; 0,005011; 0,005036; 0,004950; 0,005988; 0,004980; 0,006153; 0,006221; 0,005006; 0,005978; 
2700; 1846110; 1835057; 1846710; 1854695; 1866435; 1804145; 1798094; 1866783; 1819475; 1831785; 1843411; 1832358; 1844011; 1851996; 1863736; 1801446; 1795395; 1864084; 1816776; 1829086; 0,005997; 0,006000; 0,006003; 0,006060; 0,005979; 0,005943; 0,006070; 0,006000; 0,006935; 0,006062; 
2800; 1969573; 2012981; 1942439; 1967285; 1975566; 1979821; 1926912; 1954650; 1949757; 1926587; 1966774; 2010182; 1939640; 1964486; 1972767; 1977022; 1924113; 1951851; 1946958; 1923788; 0,007003; 0,006020; 0,006990; 0,005989; 0,007059; 0,005999; 0,006046; 0,007026; 0,006927; 0,007060; 
2900; 2108564; 2117389; 2099696; 2123506; 2056430; 2092634; 2097585; 2110967; 2111323; 2092397; 2105665; 2114490; 2096797; 2120607; 2053531; 2089735; 2094686; 2108068; 2108424; 2089498; 0,005998; 0,008006; 0,007023; 0,006973; 0,007001; 0,008024; 0,007034; 0,007000; 0,008010; 0,006993; 
3000; 2285425; 2251540; 2261428; 2325802; 2244700; 2252370; 2227835; 2240746; 2226604; 2204274; 2282426; 2248541; 2258429; 2322803; 2241701; 2249371; 2224836; 2237747; 2223605; 2201275; 0,008003; 0,007027; 0,006982; 0,007989; 0,007059; 0,007940; 0,007065; 0,007934; 0,008063; 0,007013; 
3100; 2365363; 2407450; 2432276; 2409892; 2400751; 2391447; 2416470; 2354774; 2414250; 2372763; 2362264; 2404351; 2429177; 2406793; 2397652; 2388348; 2413371; 2351675; 2411151; 2369664; 0,007013; 0,007988; 0,009023; 0,007976; 0,008024; 0,007048; 0,008048; 0,006946; 0,008050; 0,008007; 
3200; 2596089; 2580884; 2568533; 2532947; 2499387; 2609070; 2562124; 2533648; 2601457; 2565569; 2592890; 2577685; 2565334; 2529748; 2496188; 2605871; 2558925; 2530449; 2598258; 2562370; 0,009020; 0,007976; 0,009013; 0,008046; 0,008007; 0,009024; 0,007985; 0,008987; 0,008000; 0,008002; 
3300; 2728406; 2731713; 2677088; 2750675; 2778482; 2637058; 2762195; 2769394; 2696622; 2750733; 2725107; 2728414; 2673789; 2747376; 2775183; 2633759; 2758896; 2766095; 2693323; 2747434; 0,009781; 0,008997; 0,008999; 0,008990; 0,010048; 0,007949; 0,009000; 0,009990; 0,008001; 0,009001; 
3400; 2910276; 2867504; 2946365; 2891414; 2848548; 2909338; 2931277; 2878556; 2896322; 2882773; 2906877; 2864105; 2942966; 2888015; 2845149; 2905939; 2927878; 2875157; 2892923; 2879374; 0,010002; 0,009000; 0,010019; 0,009074; 0,007992; 0,010002; 0,009012; 0,008989; 0,010005; 0,008999; 
3500; 3018683; 3018870; 3062171; 3110616; 3076263; 3055697; 3074766; 3044859; 3047053; 3013192; 3015184; 3015371; 3058672; 3107117; 3072764; 3052198; 3071267; 3041360; 3043554; 3009693; 0,010002; 0,010013; 0,010009; 0,011061; 0,009974; 0,011042; 0,008935; 0,010064; 0,010007; 0,008991; 
3600; 3253646; 3182514; 3189114; 3227192; 3223769; 3301550; 3230702; 3219906; 3238200; 3260670; 3250047; 3178915; 3185515; 3223593; 3220170; 3297951; 3227103; 3216307; 3234601; 3257071; 0,011022; 0,010015; 0,010976; 0,011015; 0,011053; 0,010980; 0,011002; 0,010013; 0,009987; 0,008191; 
3700; 3444345; 3362266; 3468932; 3406552; 3419534; 3444492; 3387819; 3369080; 3433301; 3404150; 3440646; 3358567; 3465233; 3402853; 3415835; 3440793; 3384120; 3365381; 3429602; 3400451; 0,011011; 0,011012; 0,011976; 0,011058; 0,012005; 0,010999; 0,010935; 0,011077; 0,006206; 0,000000; 
3800; 3631145; 3615214; 3655597; 3607921; 3601009; 3572702; 3599690; 3659845; 3608337; 3671558; 3627346; 3611415; 3651798; 3604122; 3597210; 3568903; 3595891; 3656046; 3604538; 3667759; 0,012007; 0,011001; 0,011999; 0,013066; 0,011002; 0,011931; 0,010999; 0,004152; 0,015624; 0,000000; 
3900; 3774155; 3810757; 3777041; 3719965; 3782609; 3721846; 3817591; 3762448; 3790940; 3824859; 3770256; 3806858; 3773142; 3716066; 3778710; 3717947; 3813692; 3758549; 3787041; 3820960; 0,011982; 0,012051; 0,012940; 0,013099; 0,012901; 0,012066; 0,012010; 0,011996; 0,011236; 0,000000; 
4000; 4072249; 3974015; 4030673; 4138130; 3988994; 4042718; 3891535; 4034805; 3933707; 4001530; 4068250; 3970016; 4026674; 4134131; 3984995; 4038719; 3887536; 4030806; 3929708; 3997531; 0,013051; 0,012972; 0,013043; 0,013998; 0,014000; 0,012995; 0,012009; 0,012997; 0,001225; 0,015669; 
4100; 4245645; 4188809; 4152086; 4272751; 4190043; 4146407; 4184640; 4243559; 4190365; 4204318; 4241546; 4184710; 4147987; 4268652; 4185944; 4142308; 4180541; 4239460; 4186266; 4200219; 0,015001; 0,013998; 0,014064; 0,014001; 0,015000; 0,013000; 0,013002; 0,011295; 0,000000; 0,015675; 
4200; 4406058; 4448948; 4378945; 4480194; 4414582; 4355024; 4447784; 4383311; 4348029; 4513726; 4401859; 4444749; 4374746; 4475995; 4410383; 4350825; 4443585; 4379112; 4343830; 4509527; 0,014007; 0,013982; 0,015345; 0,014993; 0,014999; 0,012997; 0,014007; 0,007268; 0,015694; 0,000000; 
4300; 4653288; 4666120; 4600597; 4609168; 4510444; 4581295; 4625680; 4728103; 4573714; 4580118; 4648989; 4661821; 4596298; 4604869; 4506145; 4576996; 4621381; 4723804; 4569415; 4575819; 0,016015; 0,015059; 0,015002; 0,015998; 0,015000; 0,014000; 0,010250; 0,015624; 0,016563; 0,000000; 
4400; 4799963; 4804878; 4849432; 4826047; 4884374; 4843144; 4916812; 4821781; 4870782; 4847919; 4795564; 4800479; 4845033; 4821648; 4879975; 4838745; 4912413; 4817382; 4866383; 4843520; 0,014999; 0,017001; 0,017058; 0,016001; 0,014996; 0,016000; 0,011248; 0,007082; 0,031328; 0,000000; 
4500; 5089956; 5111166; 5094426; 5062059; 5058757; 5031055; 5053540; 5028677; 5041371; 5087450; 5085457; 5106667; 5089927; 5057560; 5054258; 5026556; 5049041; 5024178; 5036872; 5082951; 0,016007; 0,018012; 0,017040; 0,016937; 0,022062; 0,017039; 0,015627; 0,008573; 0,015695; 0,015655; 
4600; 5224229; 5257665; 5346926; 5285405; 5345836; 5365122; 5390982; 5362446; 5389411; 5377038; 5219630; 5253066; 5342327; 5280806; 5341237; 5360523; 5386383; 5357847; 5384812; 5372439; 0,001212; 0,034527; 0,018942; 0,017999; 0,018002; 0,017005; 0,018033; 0,014724; 0,008575; 0,015721; 
